#;Number;Year;Month;Date;Customer;Net amount;Tax;Total amount
3187;3187;2004;4;2004-04-14;OWOXKF PCNGFBKJAU;77,900;6,430;84,330
3188;3188;2004;4;2004-04-07;UPNYGN XXISXYGOQE;226,950;18,720;245,670
3189;3189;2004;4;2004-04-14;ZYQMAV WPTVEOJUUC;117,940;9,730;127,670
3190;3190;2004;4;2004-04-18;APQLAG VJKBOJLZZK;70,860;5,850;76,710
3191;3191;2004;4;2004-04-24;EDACEZ QSRVCFGAOM;116,710;9,630;126,340
3192;3192;2004;4;2004-04-02;ZRDPVA RIUFUBATCF;236,560;19,520;256,080
3193;3193;2004;4;2004-04-21;VMGFYX GMNMYNOMOQ;189,750;15,650;205,400
3194;3194;2004;4;2004-04-30;KYEAWL TTJRTTYCCC;22,230;1,830;24,060
3195;3195;2004;4;2004-04-04;TWCAAN NALVQCVSNH;320,070;26,410;346,480
3196;3196;2004;4;2004-04-11;OMUXLE JMDWAUJFNA;124,450;10,270;134,720
3197;3197;2004;4;2004-04-18;SIQBJT CFESHZVPJR;324,380;26,760;351,140
3198;3198;2004;4;2004-04-30;MIBGKH TLZQIBXNMF;192,590;15,890;208,480
3199;3199;2004;4;2004-04-22;LHFYUD BJKWWJSQTM;172,460;14,230;186,690
3200;3200;2004;4;2004-04-15;QACVFI XEYQQYYAXU;329,490;27,180;356,670
3201;3201;2004;4;2004-04-16;ROHUPB FRIFKBMNKX;377,210;31,120;408,330
3202;3202;2004;4;2004-04-06;QNHAAB VWBRAUAAJZ;39,370;3,250;42,620
3203;3203;2004;4;2004-04-27;IBSWNP BAUBBLANTS;41,100;3,390;44,490
3204;3204;2004;4;2004-04-24;IDCYGG VIYCMUCIVW;332,190;27,410;359,600
3205;3205;2004;4;2004-04-12;ZIMZUV JDNVYZYDBN;29,370;2,420;31,790
3206;3206;2004;4;2004-04-09;XHOMMD UKHZICTPUN;19,780;1,630;21,410
3207;3207;2004;4;2004-04-19;MWHMJY KRJLWWGPEI;63,110;5,210;68,320
3208;3208;2004;4;2004-04-23;BDTLZU HRLYYVVISC;104,980;8,660;113,640
3209;3209;2004;4;2004-04-28;DEBAEE ISUANIYDKR;72,910;6,020;78,930
3210;3210;2004;4;2004-04-24;JLJSZA BDXJUDVEAP;369,690;30,500;400,190
3211;3211;2004;4;2004-04-09;YQMDOW GKJYAFKUHL;259,140;21,380;280,520
3212;3212;2004;4;2004-04-28;XQSBJV CDZAUMLJUF;267,920;22,100;290,020
3213;3213;2004;4;2004-04-13;NPBTRQ QIJFAKOXWZ;226,090;18,650;244,740
3214;3214;2004;4;2004-04-04;ZCGFVY YMEPKMTGAC;384,830;31,750;416,580
3215;3215;2004;4;2004-04-10;HNZLHV JJHOOZDXWC;18,480;1,520;20,000
3216;3216;2004;4;2004-04-17;MBLVDL YBERUSUPIA;68,600;5,660;74,260
3217;3217;2004;4;2004-04-20;NOVOHF ROQJWAFZQJ;156,620;12,920;169,540
3218;3218;2004;4;2004-04-23;TOPNSH TVWLHNQOMW;0,350;0,030;0,380
3219;3219;2004;4;2004-04-10;IKDIUD UDBXIVYGKF;362,580;29,910;392,490
3220;3220;2004;4;2004-04-24;AMXXPG OWIEMJTRYV;185,390;15,290;200,680
3221;3221;2004;4;2004-04-15;SMXAYQ XEOJTQUAJV;61,600;5,080;66,680
3222;3222;2004;4;2004-04-11;REOPUP WROMXGZSGG;263,680;21,750;285,430
3223;3223;2004;4;2004-04-06;AOEYMS IRSUACTTJD;361,520;29,830;391,350
3224;3224;2004;4;2004-04-18;BVMNRX WYSCGECVBF;334,210;27,570;361,780
3225;3225;2004;4;2004-04-24;PCQUDH YWVTCDLNCD;273,090;22,530;295,620
3226;3226;2004;4;2004-04-02;JHKELR AXKLGSOMJH;18,200;1,500;19,700
3227;3227;2004;4;2004-04-27;CSFDWS DKQIVEBGYB;11,580;0,960;12,540
3228;3228;2004;4;2004-04-05;DJOZFC LWLVSDTXUR;32,170;2,650;34,820
3229;3229;2004;4;2004-04-08;DFAYDJ HKMXGFDVLL;259,960;21,450;281,410
3230;3230;2004;4;2004-04-18;QEBTUX UZZENTZSGM;374,760;30,920;405,680
3231;3231;2004;4;2004-04-01;NYPLSD ZPKYMYPHBY;122,310;10,090;132,400
3232;3232;2004;4;2004-04-12;BRMECL AFTKGYXMNY;98,050;8,090;106,140
3233;3233;2004;4;2004-04-27;YKDMHT QIAZWXUGFW;159,660;13,170;172,830
3234;3234;2004;4;2004-04-16;TMIURC NFCAMKZUNC;68,880;5,680;74,560
3235;3235;2004;4;2004-04-23;FCNUWN OPBEXZOUWZ;57,620;4,750;62,370
3236;3236;2004;4;2004-04-22;ODNGHD CIQKTSWMNS;229,670;18,950;248,620
3237;3237;2004;4;2004-04-03;EYPOPX CXUXAGUXYJ;256,590;21,170;277,760
3238;3238;2004;4;2004-04-24;GLZFLU ARNYJHIXMZ;165,370;13,640;179,010
3239;3239;2004;4;2004-04-18;FFTLXN BEJQSTTSBD;97,050;8,010;105,060
3240;3240;2004;4;2004-04-09;WPXDNE YFLIBPBFNF;377,780;31,170;408,950
3241;3241;2004;4;2004-04-28;TCTMUZ YUQMMCKINB;345,990;28,540;374,530
3242;3242;2004;4;2004-04-26;QBIICU QNNKXXCFTG;249,120;20,550;269,670
3243;3243;2004;4;2004-04-02;YNERKV KUEUAQIIUJ;270,820;22,340;293,160
3244;3244;2004;4;2004-04-14;ILOVKO CJVJRDZNDZ;334,910;27,630;362,540
3245;3245;2004;4;2004-04-14;CKGHPK HUVQFKMBEK;271,770;22,420;294,190
3246;3246;2004;4;2004-04-17;JFZIQC YQHOMXUAJL;136,700;11,280;147,980
3247;3247;2004;4;2004-04-04;INUZGE TAWYNDYQXV;95,250;7,860;103,110
3248;3248;2004;4;2004-04-09;EUXASY LDMKXUVURY;118,100;9,740;127,840
3249;3249;2004;4;2004-04-22;WURNGE ZKTZEGDMID;178,560;14,730;193,290
3250;3250;2004;4;2004-04-06;JHNRUN XSJRPWFTYP;211,870;17,480;229,350
3251;3251;2004;4;2004-04-05;XWDYUL MGOFUNUWPX;246,580;20,340;266,920
3252;3252;2004;4;2004-04-27;ZYTVNJ VASUJGQFKX;293,110;24,180;317,290
3253;3253;2004;4;2004-04-18;MPMKDP WEXDGPGPGD;28,980;2,390;31,370
3254;3254;2004;4;2004-04-29;MSXDFH VEASLLJYLY;33,630;2,770;36,400
3255;3255;2004;4;2004-04-28;NUILXA VJKPEIKFNL;115,490;9,530;125,020
3256;3256;2004;4;2004-04-14;JORJJX CWXHPNHWHX;360,860;29,770;390,630
3257;3257;2004;4;2004-04-14;HFNUVZ RZBWFYXCOU;331,920;27,380;359,300
3258;3258;2004;4;2004-04-04;ZQRIDB LLSRXKDZUR;333,650;27,530;361,180
3259;3259;2004;4;2004-04-25;RHQSCF QSFSOXSGIM;361,980;29,860;391,840
3260;3260;2004;4;2004-04-16;TGNQHD LDVJWKMHCD;142,960;11,790;154,750
3261;3261;2004;4;2004-04-13;HCLPPI GJPUDUBMHR;267,970;22,110;290,080
3262;3262;2004;4;2004-04-14;ASQVJI NKYJUXLBTN;20,640;1,700;22,340
3263;3263;2004;4;2004-04-23;YEFCTX RZWHPATBIA;186,140;15,360;201,500
3264;3264;2004;4;2004-04-10;QFSITS DBQVHXNFXH;67,080;5,530;72,610
3265;3265;2004;4;2004-04-11;DSNNHR PQZBRBBXPC;269,210;22,210;291,420
3266;3266;2004;4;2004-04-19;RDCXTI JHMFYJNDFX;339,190;27,980;367,170
3267;3267;2004;4;2004-04-28;BEXGJE PEQSGCLGPL;166,800;13,760;180,560
3268;3268;2004;4;2004-04-07;KCGPYY KDQUVXEJOI;385,650;31,820;417,470
3269;3269;2004;4;2004-04-08;OKYQOG RORNJZHFRR;382,090;31,520;413,610
3270;3270;2004;4;2004-04-01;QKDSGG ZJUHKTTIDO;144,240;11,900;156,140
3271;3271;2004;4;2004-04-02;PUSBCF HABRFAXUQT;71,080;5,860;76,940
3272;3272;2004;4;2004-04-12;VHPYTU GAHBUGOFRJ;70,290;5,800;76,090
3273;3273;2004;4;2004-04-02;CHPTJF CBHCVPOGQC;181,480;14,970;196,450
3274;3274;2004;4;2004-04-10;IATYQG HNENNKLBJK;56,820;4,690;61,510
3275;3275;2004;4;2004-04-06;ZEZASZ EQYISNFCXX;398,310;32,860;431,170
3276;3276;2004;4;2004-04-30;PPGQZG JNDEMSBXXN;18,320;1,510;19,830
3277;3277;2004;4;2004-04-09;ZOESYC KFNVKUFNZC;37,820;3,120;40,940
3278;3278;2004;4;2004-04-11;UTAJCY RNZWNEFBTB;226,720;18,700;245,420
3279;3279;2004;4;2004-04-23;HEJQOK PWSFSOHTSW;364,710;30,090;394,800
3280;3280;2004;4;2004-04-01;KNXSGI OCDNKRNFXK;79,950;6,600;86,550
3281;3281;2004;4;2004-04-02;YBFDOL ZMRCTOXLNS;343,570;28,340;371,910
3282;3282;2004;4;2004-04-03;KROBZC WJSBWMCLIC;121,620;10,030;131,650
3283;3283;2004;4;2004-04-30;GEMBAS NCSJEWQMJT;385,560;31,810;417,370
3284;3284;2004;4;2004-04-03;RSLFHM NTKZSUQBSM;255,900;21,110;277,010
3285;3285;2004;4;2004-04-29;GPKVJK DTHGLXQSSN;367,590;30,330;397,920
3286;3286;2004;4;2004-04-26;JYQFWW JLZIITTQTR;63,870;5,270;69,140
3287;3287;2004;4;2004-04-26;LTDRCQ QNBMFQQLCS;125,600;10,360;135,960
3288;3288;2004;4;2004-04-21;IKWCUU EPGWQLLJZX;61,420;5,070;66,490
3289;3289;2004;4;2004-04-06;RPDRBU HRGYBQPPDU;116,160;9,580;125,740
3290;3290;2004;4;2004-04-06;QIQLZN IFSKHRXLXT;64,660;5,330;69,990
3291;3291;2004;4;2004-04-05;ANSJCD MQMINGNDPA;27,970;2,310;30,280
3292;3292;2004;4;2004-04-30;YAVDKO ZIRVOIENLC;250,040;20,630;270,670
3293;3293;2004;4;2004-04-23;OMWVOX DNGVTUGEBP;13,010;1,070;14,080
3294;3294;2004;4;2004-04-28;VGEBGO ACBWRRIWIC;100,180;8,260;108,440
3295;3295;2004;4;2004-04-29;FMAUKJ CFQPXAWVWY;301,530;24,880;326,410
3296;3296;2004;4;2004-04-22;NFHDNU PNGMYURBRM;367,140;30,290;397,430
3297;3297;2004;4;2004-04-10;FWPPHA RQSNJXXEOH;108,000;8,910;116,910
3298;3298;2004;4;2004-04-17;HAJBLJ XZEWCJSMJP;227,510;18,770;246,280
3299;3299;2004;4;2004-04-26;FZLIAY CLTDXOMZWM;219,350;18,100;237,450
3300;3300;2004;4;2004-04-08;NRXVGG DDPHJTNZME;272,470;22,480;294,950
3301;3301;2004;4;2004-04-16;JQZGRD FTYQOCITBY;22,280;1,840;24,120
3302;3302;2004;4;2004-04-12;QQAAVE SGAZJJFOKK;6,470;0,530;7,000
3303;3303;2004;4;2004-04-05;UHGFEL MKDNVNUOII;181,600;14,980;196,580
3304;3304;2004;4;2004-04-04;OIJOIW MTHIEUHFEL;297,740;24,560;322,300
3305;3305;2004;4;2004-04-05;NHRZSC AMSFEQATKE;74,020;6,110;80,130
3306;3306;2004;4;2004-04-23;QCYKKH SFEEANACLX;384,120;31,690;415,810
3307;3307;2004;4;2004-04-30;VKANKW OPLPXTAGTJ;46,150;3,810;49,960
3308;3308;2004;4;2004-04-17;JLRGYK OZJBNYNUOF;56,840;4,690;61,530
3309;3309;2004;4;2004-04-19;HCVJVJ RWCVJOLGCC;252,430;20,830;273,260
3310;3310;2004;4;2004-04-25;HXJKIT YCLCAKLRMC;312,210;25,760;337,970
3311;3311;2004;4;2004-04-21;TBRBOC BFMVRQVDGS;281,320;23,210;304,530
3312;3312;2004;4;2004-04-16;TCRMGD OFCEGBJECR;57,770;4,770;62,540
3313;3313;2004;4;2004-04-01;CYCUAO OPRAIGDMGR;200,530;16,540;217,070
3314;3314;2004;4;2004-04-18;WMWWTX WCGMJDSYCQ;276,100;22,780;298,880
3315;3315;2004;4;2004-04-20;MHTJET CPUXYANQRN;382,360;31,540;413,900
3316;3316;2004;4;2004-04-21;PZNAHC ALSUGLQPWZ;341,790;28,200;369,990
3317;3317;2004;4;2004-04-25;ROWUDL BZSVBWVSPS;125,800;10,380;136,180
3318;3318;2004;4;2004-04-01;CTHIZC IAFLCODPXF;378,000;31,190;409,190
3319;3319;2004;4;2004-04-10;YVMZYP QMFTREMVIK;32,230;2,660;34,890
3320;3320;2004;4;2004-04-07;JDNGYF EAIBYPUOOJ;208,430;17,200;225,630
3321;3321;2004;4;2004-04-07;MLGHXU PNTGRAWGZL;317,890;26,230;344,120
3322;3322;2004;4;2004-04-08;OCOCOL IDGFLPBBZT;339,310;27,990;367,300
3323;3323;2004;4;2004-04-14;IXKPAP EICCDJUSEW;45,740;3,770;49,510
3324;3324;2004;4;2004-04-22;VJVKJY TUICGVRLRK;276,980;22,850;299,830
3325;3325;2004;4;2004-04-20;XQHCNW GGKPQXOYLI;73,110;6,030;79,140
3326;3326;2004;4;2004-04-12;OPZPWP PTFPIOWJDJ;63,770;5,260;69,030
3327;3327;2004;4;2004-04-05;EWMKZV MPYNTOCFIJ;135,860;11,210;147,070
3328;3328;2004;4;2004-04-17;TTAGYL JNHWQJOCXP;286,480;23,630;310,110
3329;3329;2004;4;2004-04-28;EOGQYC WHYOJPXPQS;196,160;16,180;212,340
3330;3330;2004;4;2004-04-30;MHXMIS UMWICSETUI;129,670;10,700;140,370
3331;3331;2004;4;2004-04-18;UJKYCI QEJGMBLSGP;296,250;24,440;320,690
3332;3332;2004;4;2004-04-12;QXESWY AGMPETVQPM;31,950;2,640;34,590
3333;3333;2004;4;2004-04-20;VGZHTR GXWNPRZIRD;184,610;15,230;199,840
3334;3334;2004;4;2004-04-20;SGFTIY HFPYPIGXAU;308,670;25,470;334,140
3335;3335;2004;4;2004-04-23;GFPKMN HIHJMSXOVK;268,970;22,190;291,160
3336;3336;2004;4;2004-04-10;UFRGCK KLFSKXHDYI;63,910;5,270;69,180
3337;3337;2004;4;2004-04-02;JBNUVR WTEHLHRAIJ;1,570;0,130;1,700
3338;3338;2004;4;2004-04-23;CEUSDZ WEPPSMZHVD;151,730;12,520;164,250
3339;3339;2004;4;2004-04-16;GTLISE OTLZASJJVE;258,250;21,310;279,560
3340;3340;2004;4;2004-04-17;RMHCNF YXWGBBUCNY;276,690;22,830;299,520
3341;3341;2004;4;2004-04-26;JHOLYW WBJLSJFGFK;109,800;9,060;118,860
3342;3342;2004;4;2004-04-11;IWBXOE WMBPIXIGYZ;88,990;7,340;96,330
3343;3343;2004;4;2004-04-17;MFXMQR BYWSXXQUVY;303,200;25,010;328,210
3344;3344;2004;4;2004-04-10;FZLBJM RGAINSTSCI;280,870;23,170;304,040
3345;3345;2004;4;2004-04-15;WOZTHE JAGAOQNALL;47,930;3,950;51,880
3346;3346;2004;4;2004-04-28;CSHZIB FDLIGHHJNT;385,810;31,830;417,640
3347;3347;2004;4;2004-04-17;OYYKYH EWICXYAWOM;186,920;15,420;202,340
3348;3348;2004;4;2004-04-26;ACZUEI KWPJPIYKME;24,250;2,000;26,250
3349;3349;2004;4;2004-04-25;NWJBGS GCIHFMQTRK;327,520;27,020;354,540
3350;3350;2004;4;2004-04-04;JHHLJR OFQWWELEWP;316,110;26,080;342,190
3351;3351;2004;4;2004-04-14;TCSWEF EVAZJTFOMX;109,480;9,030;118,510
3352;3352;2004;4;2004-04-18;BTZMAC QKANWACZVE;76,000;6,270;82,270
3353;3353;2004;4;2004-04-13;NSDUTQ IHGDMQIRNH;68,730;5,670;74,400
3354;3354;2004;4;2004-04-24;INEUFJ VDPBIJJXOA;16,190;1,340;17,530
3355;3355;2004;4;2004-04-29;ZBXWAR YYDOOJOXOE;68,520;5,650;74,170
3356;3356;2004;4;2004-04-06;NSVAAD AZLOXESLQI;128,160;10,570;138,730
3357;3357;2004;4;2004-04-11;EGWJIO NRODNHSPUK;203,230;16,770;220,000
3358;3358;2004;4;2004-04-19;BTUNHF JQLRPXAEVQ;391,250;32,280;423,530
3359;3359;2004;4;2004-04-30;VUBINZ HRILTHTOHK;209,070;17,250;226,320
3360;3360;2004;4;2004-04-20;BPLRCX AQRFIRTACX;171,470;14,150;185,620
3361;3361;2004;4;2004-04-24;IVDTST PRALDPMIZD;379,170;31,280;410,450
3362;3362;2004;4;2004-04-06;NFBIKF PFIKDKLGKW;391,490;32,300;423,790
3363;3363;2004;4;2004-04-04;ZUBWZY RXGSJPJCVK;394,080;32,510;426,590
3364;3364;2004;4;2004-04-01;XYUNEP LBWYPAYLGD;388,230;32,030;420,260
3365;3365;2004;4;2004-04-20;CMLJDQ BAFBVWATJO;138,950;11,460;150,410
3366;3366;2004;4;2004-04-12;PLZKTA PGTLHEQPSS;132,910;10,970;143,880
3367;3367;2004;4;2004-04-04;PSNFEI TVLZUVIVAP;317,810;26,220;344,030
3368;3368;2004;4;2004-04-08;SHEEKO QILRPKYPNV;352,840;29,110;381,950
3369;3369;2004;4;2004-04-12;MZKJER TXZWMFHQUZ;29,930;2,470;32,400
3370;3370;2004;4;2004-04-02;EJCLGW NZIAIKUKHI;252,560;20,840;273,400
3371;3371;2004;4;2004-04-11;PBXRNK AFKDONPPPB;67,700;5,590;73,290
3372;3372;2004;4;2004-04-24;ALJQWC AFEPFEDQMS;210,710;17,380;228,090
3373;3373;2004;4;2004-04-01;TFJQSL LXOTGDEYRL;286,870;23,670;310,540
3374;3374;2004;4;2004-04-09;BAUGHF UUJFZLMFDM;296,120;24,430;320,550
3375;3375;2004;4;2004-04-17;HTYVFE WZYTHSIYCB;156,030;12,870;168,900
3376;3376;2004;4;2004-04-03;XFUKBO RWCCVPEYNA;355,010;29,290;384,300
3377;3377;2004;4;2004-04-03;QIQRLX YXLTTYMSDO;237,150;19,560;256,710
3378;3378;2004;4;2004-04-26;TKIQVP HAWAGDCUKT;334,880;27,630;362,510
3379;3379;2004;4;2004-04-21;QHTLIG WQFXQIRYPC;169,590;13,990;183,580
3380;3380;2004;4;2004-04-10;KKHDQC LSZNPDREDL;329,130;27,150;356,280
3381;3381;2004;4;2004-04-19;ABRAPB WEIZKETDNH;328,630;27,110;355,740
3382;3382;2004;4;2004-04-23;PBKGWP AJUADKRADJ;197,760;16,320;214,080
3383;3383;2004;4;2004-04-15;YWGXAM MZEPFDLTPS;390,130;32,190;422,320
3384;3384;2004;4;2004-04-14;AFIVXV CZWSUKLFFQ;361,660;29,840;391,500
3385;3385;2004;4;2004-04-04;ZBJOVQ NUQMEXAPCO;52,770;4,350;57,120
3386;3386;2004;4;2004-04-02;YONYBU KRHYVUVWWQ;382,050;31,520;413,570
3387;3387;2004;4;2004-04-21;MBLVDL YBERUSUPIA;293,070;24,180;317,250
3388;3388;2004;4;2004-04-22;GOXRZV BIHKSLNOEB;371,180;30,620;401,800
3389;3389;2004;4;2004-04-15;ZIDXBZ PVKAJMQSNR;376,670;31,080;407,750
3390;3390;2004;4;2004-04-26;GAIKVZ MFMTEXUNUS;180,610;14,900;195,510
3391;3391;2004;4;2004-04-19;AXDZSG XRDQYSAZTM;188,610;15,560;204,170
3392;3392;2004;4;2004-04-01;DJJCQP BJSFALTFUQ;69,370;5,720;75,090
3393;3393;2004;4;2004-04-02;FRAPTQ MKEMOTWTTU;323,700;26,710;350,410
3394;3394;2004;4;2004-04-22;WEJSQF VVJZGSIXSP;35,820;2,960;38,780
3395;3395;2004;4;2004-04-03;FTACPO AEAXHPVOQU;253,550;20,920;274,470
3396;3396;2004;4;2004-04-28;GBCQUD CWFRLABTUO;137,200;11,320;148,520
3397;3397;2004;4;2004-04-03;ELIFWO DFZVAJJTOT;194,350;16,030;210,380
3398;3398;2004;4;2004-04-11;SJTGNW DDKRSIQGPU;280,290;23,120;303,410
3399;3399;2004;4;2004-04-27;PWBDGB JLPBSKGFDX;397,870;32,820;430,690
3400;3400;2004;4;2004-04-22;SEDBSZ VEZJOOIPVY;366,510;30,240;396,750
3401;3401;2004;4;2004-04-05;NXOYWP QBPHGPXNNE;87,910;7,250;95,160
3402;3402;2004;4;2004-04-28;TZEEWY PFIVBPGVBW;250,320;20,650;270,970
3403;3403;2004;4;2004-04-27;ETEONQ MVNUEGLWEJ;96,790;7,990;104,780
3404;3404;2004;4;2004-04-02;RJLRLG JUCUNGWWIU;270,460;22,310;292,770
3405;3405;2004;4;2004-04-06;UIDYCM AYJULOKUIG;177,380;14,630;192,010
3406;3406;2004;4;2004-04-03;ECKIZC YSGAOTNHWU;58,850;4,860;63,710
3407;3407;2004;4;2004-04-04;LBFNXX COLUAAAGHU;193,320;15,950;209,270
3408;3408;2004;4;2004-04-14;SUZETW YSLLOCHPZE;272,780;22,500;295,280
3409;3409;2004;4;2004-04-08;BQVDMM SQSNOXQJCL;239,970;19,800;259,770
3410;3410;2004;4;2004-04-11;DPBVWQ BSIGZGQXJQ;11,600;0,960;12,560
3411;3411;2004;4;2004-04-10;TVBLFO OSENOALJKG;253,730;20,930;274,660
3412;3412;2004;4;2004-04-08;YGOOTL KQFSJKDWVH;256,240;21,140;277,380
3413;3413;2004;4;2004-04-04;NMLAKE TPESQUFMYY;192,060;15,840;207,900
3414;3414;2004;4;2004-04-24;UHJDNX CWLPUIIYEV;248,350;20,490;268,840
3415;3415;2004;4;2004-04-07;AWZRFF UQMQQFJUGV;18,980;1,570;20,550
3416;3416;2004;4;2004-04-20;VRHHRX VXZDKPGURO;292,390;24,120;316,510
3417;3417;2004;4;2004-04-07;WGHSMY ICYLOSAFFX;210,890;17,400;228,290
3418;3418;2004;4;2004-04-03;HOMPPE AXVQCABYQW;34,640;2,860;37,500
3419;3419;2004;4;2004-04-15;QFEYGO FTGIFVGFLP;36,830;3,040;39,870
3420;3420;2004;4;2004-04-21;NWMUGA DBCHWQJSBQ;228,260;18,830;247,090
3421;3421;2004;4;2004-04-17;SHYTFR IPKFSTXDVA;83,780;6,910;90,690
3422;3422;2004;4;2004-04-29;OSGPML TCTWRMTZUI;252,750;20,850;273,600
3423;3423;2004;4;2004-04-20;UCGGHU OHHVHXCZNR;347,650;28,680;376,330
3424;3424;2004;4;2004-04-06;YTGBXN TRNPFIKQYF;112,720;9,300;122,020
3425;3425;2004;4;2004-04-27;MNDQDM AGAQIINSXQ;160,290;13,220;173,510
3426;3426;2004;4;2004-04-03;XDVAGX PXCFDPDMPB;379,530;31,310;410,840
3427;3427;2004;4;2004-04-04;RFCENW MCGWJQPEQG;218,920;18,060;236,980
3428;3428;2004;4;2004-04-16;KTILRZ EVJEBKDOQC;27,590;2,280;29,870
3429;3429;2004;4;2004-04-16;LPYZYC FKSWQTKPVI;202,320;16,690;219,010
3430;3430;2004;4;2004-04-22;EPDAAQ KMFHHAACPJ;178,840;14,750;193,590
3431;3431;2004;4;2004-04-03;ZIFAHU WWDLNTHSCV;107,770;8,890;116,660
3432;3432;2004;4;2004-04-09;HJWHND ROOKBAFKDH;53,710;4,430;58,140
3433;3433;2004;4;2004-04-29;XAPNEH DGCTJCKCNX;110,850;9,150;120,000
3434;3434;2004;4;2004-04-14;IXBBDZ NBKLAEKKPV;112,140;9,250;121,390
3435;3435;2004;4;2004-04-03;QHKDTL ZUGEMQCYIH;53,460;4,410;57,870
3436;3436;2004;4;2004-04-07;LHWDGZ BYEFXBGOUO;254,780;21,020;275,800
3437;3437;2004;4;2004-04-14;OBWWKI WSHZIMZESY;220,650;18,200;238,850
3438;3438;2004;4;2004-04-10;WCNPSP RBIPTKKVNT;247,570;20,420;267,990
3439;3439;2004;4;2004-04-19;DXKDXZ AIBLFYCLHM;78,400;6,470;84,870
3440;3440;2004;4;2004-04-20;JOPFCQ VKBKRCRMDW;172,950;14,270;187,220
3441;3441;2004;4;2004-04-28;HIIOGY FMHAFSQNMD;83,510;6,890;90,400
3442;3442;2004;4;2004-04-24;OAVLWJ BBELBWVUSJ;149,710;12,350;162,060
3443;3443;2004;4;2004-04-10;NFWQCQ UHTLYCFMQB;10,720;0,880;11,600
3444;3444;2004;4;2004-04-13;TLBWOF QLJXUDZMWV;315,350;26,020;341,370
3445;3445;2004;4;2004-04-26;SXDBTH SZYCZMXZRM;44,040;3,630;47,670
3446;3446;2004;4;2004-04-24;YZDNTW VHJJMAZXHE;341,270;28,150;369,420
3447;3447;2004;4;2004-04-20;PUZNDX SXOIETDNXB;230,170;18,990;249,160
3448;3448;2004;4;2004-04-02;QFNLOZ ULUJFQOXUM;36,040;2,970;39,010
3449;3449;2004;4;2004-04-02;FKEZFF KBJCGYJAEK;167,920;13,850;181,770
3450;3450;2004;4;2004-04-03;PIAIQI NHMFZRYYJI;267,810;22,090;289,900
3451;3451;2004;4;2004-04-30;UVWXBD YCSBNRSXHA;152,410;12,570;164,980
3452;3452;2004;4;2004-04-04;SGFTIY HFPYPIGXAU;110,340;9,100;119,440
3453;3453;2004;4;2004-04-02;QZPGBN ESWWKUGUAE;313,640;25,880;339,520
3454;3454;2004;4;2004-04-23;ESNYAG GCMEBCLKNP;385,120;31,770;416,890
3455;3455;2004;4;2004-04-10;UXAPRH EAUZBSUMUH;233,200;19,240;252,440
3456;3456;2004;4;2004-04-03;SVPWOZ EZOOMERHSX;240,430;19,840;260,270
3457;3457;2004;4;2004-04-12;XBWFJI RXUVOFJAWG;274,380;22,640;297,020
3458;3458;2004;4;2004-04-15;JCIJMK GOVGVTAEJG;127,550;10,520;138,070
3459;3459;2004;4;2004-04-08;NRJYUJ UMMFUOITEM;253,980;20,950;274,930
3460;3460;2004;4;2004-04-24;RUUKDU UCPKLOYHVR;176,530;14,560;191,090
3461;3461;2004;4;2004-04-23;YGDYUF FPPKDUQNZN;142,420;11,750;154,170
3462;3462;2004;4;2004-04-23;RBIAMQ CNQMJQGKCS;143,320;11,820;155,140
3463;3463;2004;4;2004-04-28;JYNYYD BIGJWHOHUX;51,570;4,250;55,820
3464;3464;2004;4;2004-04-19;UDHBYF KJXJCRAULZ;278,900;23,010;301,910
3465;3465;2004;4;2004-04-15;GHCBAZ KEGNGHBWKP;24,480;2,020;26,500
3466;3466;2004;4;2004-04-17;PMRFJI BUEFFQGFLT;254,260;20,980;275,240
3467;3467;2004;4;2004-04-01;EAUJZM EFHNPLGALG;199,670;16,470;216,140
3468;3468;2004;4;2004-04-30;TLFHAO HHPVKDCJDO;369,380;30,470;399,850
3469;3469;2004;4;2004-04-22;MXKZBP PGZGVFUDFB;397,180;32,770;429,950
3470;3470;2004;4;2004-04-20;WMEROV IQYNEFLBVK;307,490;25,370;332,860
3471;3471;2004;4;2004-04-26;FSPZPK HQOTEDZOVC;36,610;3,020;39,630
3472;3472;2004;4;2004-04-03;YZRTVD TDJCYSMURK;280,170;23,110;303,280
3473;3473;2004;4;2004-04-06;JQKVOO GAZFRCWUFD;397,390;32,780;430,170
3474;3474;2004;4;2004-04-29;QYTFVQ ZBAAMREQZP;186,610;15,400;202,010
3475;3475;2004;4;2004-04-11;FLWTVU OAFHLGIPAK;236,950;19,550;256,500
3476;3476;2004;4;2004-04-11;UJUAYT IEUMVAUIDN;313,390;25,850;339,240
3477;3477;2004;4;2004-04-25;HKJJAA HHICCVIDPL;339,290;27,990;367,280
3478;3478;2004;4;2004-04-22;AHPIFR YSTBXTEUSP;163,610;13,500;177,110
3479;3479;2004;4;2004-04-24;JVWMMZ METKMIVUOW;324,730;26,790;351,520
3480;3480;2004;4;2004-04-14;VTPIHG VTLKEMEBUB;280,920;23,180;304,100
3481;3481;2004;4;2004-04-17;GRIJHQ WXGOBAXQKS;28,960;2,390;31,350
3482;3482;2004;4;2004-04-11;FAWYBA UPAFZAYPRM;366,530;30,240;396,770
3483;3483;2004;4;2004-04-09;XXLECL OEZHBPYBLW;230,230;18,990;249,220
